Coordination,r1_c36,r2_c36,r3_c36
Tetrahedral,0.787,96.572,1.368
Tetrahedral,1.113,89.519,1.359
Tetrahedral,0.965,93.424,0.534
Tetrahedral,0.714,92.811,0.932
Tetrahedral,0.805,88.641,1.068
Tetrahedral,0.723,92.902,0.323
Tetrahedral,0.523,88.302,1.044
Tetrahedral,1.002,92.184,0.582
Tetrahedral,0.685,94.595,0.688
Tetrahedral,0.594,90.624,0.747
Tetrahedral,0.575,91.499,0.602
Tetrahedral,0.975,92.129,0.588
Tetrahedral,1.625,94.834,1.146
Tetrahedral,1.302,93.461,0.784
Tetrahedral,0.354,93.832,0.637
Tetrahedral,0.562,94.512,1.021
Tetrahedral,0.825,90.195,0.833
Tetrahedral,0.743,85.868,0.717
Tetrahedral,0.8,80.342,0.547
Tetrahedral,1.113,77.725,0.938
Tetrahedral,1.239,77.516,0.62
Tetrahedral,0.804,79.703,0.968
Tetrahedral,0.868,81.621,0.652
Tetrahedral,1.032,85.469,1.091
Tetrahedral,1.086,88.378,0.531
Tetrahedral,0.575,80.448,0.523
Tetrahedral,0.66,86.992,0.94
Tetrahedral,1.303,90.963,1.258
Tetrahedral,0.853,90.133,1
Tetrahedral,0.826,89.508,0.689
Tetrahedral,0.864,83.544,1.288
Tetrahedral,0.801,85.668,1.353
Tetrahedral,0.745,87.804,0.473
Tetrahedral,0.647,88.851,0.547
Tetrahedral,0.784,90.74,0.693
Tetrahedral,0.927,85.861,0.997
Tetrahedral,1.127,86.913,1.018
Tetrahedral,0.999,86.933,1.048
Tetrahedral,1.558,89.349,0.754
Tetrahedral,0.528,86.88,0.854
Tetrahedral,0.753,86.346,0.951
Tetrahedral,0.664,97.017,0.575
Tetrahedral,1.212,91.065,0.459
Tetrahedral,0.953,91.077,0.773
Tetrahedral,0.843,91.032,0.876
Tetrahedral,1.189,93.222,1.039
Tetrahedral,0.635,95.175,1.267
Tetrahedral,1.03,90.205,0.977
Tetrahedral,0.468,86.911,0.379
Tetrahedral,1.767,89.512,0.587
Tetrahedral,0.787,89.676,1.167
Tetrahedral,1.154,89.78,0.737
Tetrahedral,0.961,86.903,1.371
Tetrahedral,0.267,82.774,1.071
Tetrahedral,0.821,85.934,0.867
Tetrahedral,0.912,82.388,0.446
Tetrahedral,0.467,89.044,0.548
Tetrahedral,0.788,91.834,0.864
Tetrahedral,1.373,93.082,0.901
Tetrahedral,1.121,93.111,0.763
Tetrahedral,0.614,84.387,0.679
Tetrahedral,1.073,90.855,0.515
Tetrahedral,0.773,88.251,1.098
Tetrahedral,1.236,86.188,0.593
Tetrahedral,0.647,83.995,0.625
Tetrahedral,0.928,78.738,0.861
Tetrahedral,0.713,76.171,0.703
Tetrahedral,0.604,75.026,1.385
Tetrahedral,0.596,84.061,0.591
Tetrahedral,0.775,91.041,0.955
Tetrahedral,0.663,87.042,0.641
Tetrahedral,0.887,87.5,0.919
Tetrahedral,1.392,86.001,1.063
Tetrahedral,0.787,90.498,0.482
Tetrahedral,0.524,88.422,0.872
Tetrahedral,0.797,90.419,0.751
Tetrahedral,0.828,90.88,0.468
Tetrahedral,0.566,90.32,0.823
Tetrahedral,1.359,93.211,0.414
Tetrahedral,0.63,93.981,0.674
Tetrahedral,0.992,95.439,0.633
Tetrahedral,0.849,94.752,0.549
Tetrahedral,0.893,93.962,1.017
Tetrahedral,1.222,94.039,0.609
Tetrahedral,1.081,94.947,0.66
Tetrahedral,1.47,96.889,0.522
Tetrahedral,0.989,94.55,0.834
Tetrahedral,0.698,91.911,0.689
Tetrahedral,0.844,92.77,0.673
Tetrahedral,0.519,91.221,0.808
Tetrahedral,0.542,94.532,0.711
Tetrahedral,1.256,94.096,0.832
Tetrahedral,0.511,94.559,0.836
Tetrahedral,1.159,94.517,0.684
Tetrahedral,0.989,93.808,0.589
Tetrahedral,0.826,93.657,0.293
Tetrahedral,0.808,91.134,0.464
Tetrahedral,0.726,94.901,0.354
Tetrahedral,0.458,94.35,0.543
Tetrahedral,0.489,95.078,0.618
Tetrahedral,0.902,91.537,0.628
Tetrahedral,1.1,92.5,0.629
Tetrahedral,1.171,94.302,0.623
Tetrahedral,0.777,93.048,0.64
Tetrahedral,1.169,90.192,0.956
Tetrahedral,0.97,92.793,0.316
Tetrahedral,0.736,89.755,0.352
Tetrahedral,1.299,87.785,0.586
Tetrahedral,0.946,91.162,0.629
Tetrahedral,1.048,90.899,0.421
Tetrahedral,1.037,88.134,0.407
Tetrahedral,0.704,91.802,0.862
Tetrahedral,0.69,92.917,0.602
Tetrahedral,1.28,90.441,0.959
Tetrahedral,0.626,83.255,0.751
Tetrahedral,1.226,89.073,0.71
Tetrahedral,0.705,92.474,0.542
Tetrahedral,1.134,92.614,0.764
Tetrahedral,1.216,91.63,0.521
Tetrahedral,0.801,91.67,0.793
Tetrahedral,0.402,90.303,0.741
Tetrahedral,1.537,92.484,0.611
Tetrahedral,0.672,95.142,0.498
Tetrahedral,1.584,96.235,0.329
Tetrahedral,1.124,92.854,0.958
Tetrahedral,0.803,90.981,0.581
Tetrahedral,0.746,93.493,1.07
Tetrahedral,0.844,98.343,0.657
Tetrahedral,0.621,98.506,0.854
Tetrahedral,1.269,90.205,0.545
Tetrahedral,1.069,97.94,0.631
Tetrahedral,0.842,97.918,0.558
Tetrahedral,1.349,95.831,0.405
Tetrahedral,0.733,96.141,1
Tetrahedral,0.655,82.78,0.443
